FIPS,clusters
21063,cluster_7
21065,cluster_7
21067,cluster_7
21069,cluster_7
21071,cluster_7
21073,cluster_7
21075,cluster_7
21079,cluster_7
21081,cluster_7
21083,cluster_7
21085,cluster_7
21087,cluster_7
21089,cluster_7
21091,cluster_7
21093,cluster_7
21095,cluster_7
21097,cluster_7
21099,cluster_7
21101,cluster_7
21103,cluster_7
21105,cluster_7
21107,cluster_7
21109,cluster_7
21111,cluster_7
21113,cluster_7
21115,cluster_7
21117,cluster_7
21119,cluster_7
21121,cluster_7
21123,cluster_7
21125,cluster_7
21127,cluster_7
21129,cluster_7
21131,cluster_7
21135,cluster_7
21137,cluster_7
21139,cluster_7
21141,cluster_7
21143,cluster_7
21145,cluster_7
21147,cluster_7
21149,cluster_7
21151,cluster_7
21153,cluster_7
21155,cluster_7
21157,cluster_7
21159,cluster_7
21161,cluster_7
21163,cluster_7
21165,cluster_7
21167,cluster_7
21169,cluster_7
21171,cluster_7
21173,cluster_7
21175,cluster_7
21177,cluster_7
21179,cluster_7
21181,cluster_7
21183,cluster_7
21185,cluster_7
21187,cluster_7
21189,cluster_7
21191,cluster_7
21193,cluster_7
21195,cluster_7
21197,cluster_7
21199,cluster_7
21201,cluster_7
21203,cluster_7
21205,cluster_7
21207,cluster_7
21209,cluster_7
21211,cluster_7
21213,cluster_7
21217,cluster_7
21219,cluster_7
21221,cluster_7
21223,cluster_7
21225,cluster_7
21227,cluster_7
21229,cluster_7
21231,cluster_7
21233,cluster_7
21235,cluster_7
21237,cluster_7
21239,cluster_7
22001,cluster_8
22003,cluster_8
22005,cluster_8
22007,cluster_8
22009,cluster_8
22011,cluster_8
22013,cluster_8
22015,cluster_8
22017,cluster_8
22019,cluster_8
22021,cluster_8
22023,cluster_8
22025,cluster_8
22027,cluster_8
22029,cluster_8
22031,cluster_8
22033,cluster_8
22035,cluster_8
22037,cluster_8
22039,cluster_8
22041,cluster_8
22043,cluster_8
22045,cluster_8
22047,cluster_8
22049,cluster_8
22051,cluster_8
22053,cluster_8
22055,cluster_8
22057,cluster_8
22059,cluster_8
22061,cluster_8
22063,cluster_8
22065,cluster_8
22067,cluster_8
22069,cluster_8
22071,cluster_8
22073,cluster_8
22075,cluster_8
22077,cluster_8
22079,cluster_8
22081,cluster_8
22083,cluster_8
22085,cluster_8
22087,cluster_8
22089,cluster_8
22091,cluster_8
22093,cluster_8
22095,cluster_8
22097,cluster_8
22099,cluster_8
22101,cluster_8
22103,cluster_8
22105,cluster_8
22107,cluster_8
22109,cluster_8
22111,cluster_8
22113,cluster_8
22115,cluster_8
22117,cluster_8
22119,cluster_8
22121,cluster_8
22123,cluster_8
22125,cluster_8
22127,cluster_8
23001,cluster_6
23003,cluster_6
23005,cluster_6
23007,cluster_6
23009,cluster_6
23011,cluster_6
23013,cluster_6
23015,cluster_6
23017,cluster_6
23019,cluster_6
23021,cluster_6
23023,cluster_6
23025,cluster_6
23027,cluster_6
23029,cluster_6
23031,cluster_6
24001,cluster_6
24003,cluster_6
24005,cluster_6
24009,cluster_6
24011,cluster_6
24013,cluster_6
24015,cluster_6
24017,cluster_6
24019,cluster_6
24021,cluster_6
24023,cluster_6
24025,cluster_6
24027,cluster_6
24029,cluster_6
24031,cluster_6
24033,cluster_6
24035,cluster_6
24037,cluster_6
24039,cluster_8
24041,cluster_6
24043,cluster_6
24045,cluster_6
24047,cluster_6
24510,cluster_8
25001,cluster_6
25003,cluster_6
25005,cluster_6
25007,cluster_6
25009,cluster_6
25011,cluster_6
25013,cluster_6
25015,cluster_6
25017,cluster_6
25019,cluster_6
25021,cluster_6
25023,cluster_6
25025,cluster_6
25027,cluster_6
26001,cluster_6
26003,cluster_6
26005,cluster_6
26007,cluster_6
26009,cluster_6
26011,cluster_6
26013,cluster_6
26015,cluster_6
26017,cluster_6
26021,cluster_8
26023,cluster_6
26025,cluster_8
26027,cluster_6
26029,cluster_6
26031,cluster_6
26033,cluster_8
26035,cluster_6
26037,cluster_6
26039,cluster_6
26041,cluster_6
26043,cluster_6
26045,cluster_6
26047,cluster_6
26049,cluster_8
26051,cluster_6
26053,cluster_6
26055,cluster_6
26057,cluster_6
26059,cluster_6
26061,cluster_6
26063,cluster_6
26065,cluster_6
26067,cluster_6
26069,cluster_6
26071,cluster_6
26073,cluster_6
26075,cluster_6
26077,cluster_6
26079,cluster_6
26081,cluster_6
26083,cluster_6
26085,cluster_6
26087,cluster_6
26089,cluster_6
26091,cluster_6
26093,cluster_6
26095,cluster_6
26097,cluster_6
26099,cluster_6
26101,cluster_6
26103,cluster_6
26105,cluster_6
26107,cluster_6
26109,cluster_6
26111,cluster_6
26113,cluster_6
26115,cluster_6
26117,cluster_6
26119,cluster_6
26121,cluster_8
26123,cluster_6
26125,cluster_6
26127,cluster_6
26129,cluster_6
26131,cluster_6
26133,cluster_6
26135,cluster_6
26137,cluster_6
26139,cluster_6
26141,cluster_6
26143,cluster_6
26145,cluster_8
26147,cluster_6
26149,cluster_6
26151,cluster_6
26153,cluster_6
26155,cluster_6
26157,cluster_6
26159,cluster_6
26161,cluster_6
26163,cluster_8
26165,cluster_6
27001,cluster_7
27003,cluster_6
27005,cluster_7
27007,cluster_7
27009,cluster_7
27011,cluster_7
27013,cluster_7
27015,cluster_7
27017,cluster_7
27019,cluster_6
27021,cluster_7
27023,cluster_7
27025,cluster_7
27027,cluster_7
27029,cluster_7
27031,cluster_7
27033,cluster_7
27035,cluster_7
27037,cluster_6
27039,cluster_7
27041,cluster_7
27043,cluster_7
27045,cluster_7
27047,cluster_7
27049,cluster_7
27051,cluster_7
27053,cluster_7
27055,cluster_7
27057,cluster_7
27059,cluster_7
27061,cluster_7
27063,cluster_7
27065,cluster_7
27067,cluster_7
27069,cluster_5
27071,cluster_7
27073,cluster_7
27075,cluster_7
27077,cluster_7
27079,cluster_7
27081,cluster_7
27083,cluster_7
27085,cluster_7
27087,cluster_4
27089,cluster_5
27091,cluster_7
27093,cluster_7
27095,cluster_7
27097,cluster_7
27099,cluster_7
27101,cluster_7
27103,cluster_7
27105,cluster_7
27107,cluster_7
27109,cluster_7
27111,cluster_7
27113,cluster_7
27115,cluster_7
27117,cluster_7
27119,cluster_7
27121,cluster_7
27123,cluster_7
27125,cluster_5
27127,cluster_7
27129,cluster_7
27131,cluster_7
27133,cluster_7
27135,cluster_7
27137,cluster_7
27139,cluster_6
27141,cluster_6
27143,cluster_7
27145,cluster_7
27147,cluster_7
27149,cluster_7
27151,cluster_7
27153,cluster_7
27155,cluster_7
27157,cluster_7
27159,cluster_7
27161,cluster_7
27163,cluster_6
27165,cluster_7
27167,cluster_7
27169,cluster_7
27171,cluster_6
27173,cluster_7
28001,cluster_2
28003,cluster_3
28005,cluster_3
28007,cluster_3
28009,cluster_3
28011,cluster_2
28013,cluster_3
28015,cluster_3
28017,cluster_3
28019,cluster_3
28021,cluster_2
28023,cluster_3
28025,cluster_2
