FIPS,group
28043,4
28045,4
28047,4
28051,4
28053,4
28055,4
28059,4
28061,4
28063,4
28065,4
28067,4
28069,4
28077,4
28079,4
28081,4
28083,4
28087,4
28091,4
28093,4
28095,4
28097,4
28099,4
28101,4
28103,4
28107,4
28113,4
28115,4
28117,4
28119,4
28123,4
28125,4
28127,4
28129,4
28133,4
28135,4
28137,4
28141,4
28143,4
28147,4
28149,4
28151,4
28153,4
28155,4
28157,4
28159,4
28161,4
28163,4
29011,3
29015,3
29065,3
29153,3
29207,3
29221,3
29223,3
29510,3
30003,1
30035,1
31015,3
31173,1
35006,1
35031,1
37007,3
37013,3
37015,3
37017,3
37027,3
37035,3
37047,3
37061,3
37065,3
37069,3
37071,3
37083,3
37091,3
37101,3
37103,3
37105,3
37107,3
37111,3
37117,3
37131,3
37137,3
37139,3
37143,3
37151,3
37155,1
37157,3
37161,3
37163,3
37165,3
37173,3
37177,3
37181,3
37185,3
37187,3
39013,3
39015,3
39031,3
39051,3
39053,3
39073,3
39079,3
39081,3
39087,3
39091,3
39105,3
39111,3
39115,3
39121,3
39131,3
39145,3
39147,3
39161,3
39163,3
39167,3
40001,4
40007,4
40011,4
40021,4
40023,4
40033,4
40037,4
40041,4
40043,4
40057,4
40061,4
40063,4
40067,4
40069,4
40075,4
40077,4
40079,4
40081,4
40085,4
40089,4
40091,4
40095,4
40097,4
40099,4
40105,4
40107,4
40115,4
40117,4
40125,4
40127,4
40133,4
40135,4
40137,4
40141,4
40147,4
42033,3
42051,3
45001,3
45005,3
45009,3
45011,3
45015,3
45017,3
45021,3
45023,3
45025,3
45027,3
45029,3
45031,3
45033,3
45037,3
45039,3
45041,3
45043,3
45049,3
45053,3
45059,3
45061,3
45065,3
45067,3
45069,3
45071,3
45075,3
45085,3
45087,3
45089,3
46007,1
46017,1
46041,1
46113,1
46121,1
46137,1
47005,4
47009,4
47011,4
47013,4
47017,4
47019,4
47023,4
47025,4
47027,4
47029,4
47033,4
47035,4
47039,4
47041,4
47045,4
47047,4
47049,4
47055,4
47057,4
47061,4
47063,4
47069,4
47071,4
47073,4
47075,4
47077,4
47079,4
47083,4
47085,4
47087,4
47091,4
47095,4
47097,4
47099,4
47101,4
47103,4
47107,4
47109,4
47111,4
47113,4
47115,4
47117,4
47121,4
47123,4
47127,4
47131,4
47133,4
47135,4
47137,4
47139,4
47143,4
47145,4
47151,4
47153,4
47159,4
47161,4
47163,4
47167,4
47171,4
47173,4
47175,4
47177,4
47183,4
47185,4
48067,3
48265,3
48289,3
48405,3
51001,3
51027,3
51029,3
51036,3
51049,3
51057,3
51081,3
51083,3
51089,3
51103,3
51117,3
51131,3
51133,3
51135,3
51143,3
51155,3
51169,3
51181,3
51183,3
51185,3
51193,3
51590,3
51595,2
51620,2
51670,3
51730,4
51740,3
53023,3
53051,3
54001,3
54005,3
54007,3
54009,3
54011,3
54013,3
54015,3
54019,3
54023,3
54025,3
54027,3
54031,3
54033,3
54039,3
54041,3
54043,3
54045,3
54047,3
54051,3
54055,3
54057,3
54063,3
54065,3
54067,3
54071,3
54073,3
54075,3
54081,3
54085,3
54087,3
54089,3
54093,3
54095,3
54099,3
54101,3
54105,3
54107,3
54109,3
55078,1
