FIPS,prevalence of diabetes,prevalence of obesity,prevalence of physical inactivity
2070,7.2,38.0,25.766666666666666
2090,5.5,28.1,19.3
2100,7.9,25.5,18.633333333333336
2105,7.3,31.8,20.533333333333335
2110,5.9,28.6,15.433333333333332
2122,7.2,28.4,21.900000000000002
2130,8.9,30.8,21.366666666666664
2150,6.6,30.2,20.266666666666666
2164,7.4,31.9,24.066666666666666
2170,8.2,30.2,21.400000000000002
2180,6.0,31.7,26.066666666666663
2185,6.5,36.5,25.766666666666666
2188,6.5,32.4,26.133333333333336
2195,7.1,30.5,20.733333333333334
2198,7.3,35.2,26.433333333333334
2201,,,
2220,6.7,28.7,17.166666666666668
2230,6.4,28.1,18.133333333333333
2232,,,
2240,6.9,33.1,20.166666666666668
2261,7.4,30.4,22.53333333333333
2270,4.6,32.6,27.633333333333336
2275,8.9,30.6,21.133333333333333
2280,,,
2282,7.9,31.3,24.099999999999998
2290,8.3,28.3,25.53333333333333
4001,14.4,35.2,21.833333333333332
4003,10.3,26.0,21.766666666666666
4005,7.6,23.2,15.466666666666669
4007,11.2,27.5,25.166666666666668
4009,10.3,32.5,24.066666666666663
4011,10.7,34.7,23.7
4012,14.8,32.0,30.46666666666667
4013,9.0,25.4,19.133333333333336
4015,12.8,29.6,30.866666666666664
4017,13.1,30.9,24.099999999999998
4019,8.8,24.2,18.099999999999998
4021,12.3,31.6,24.733333333333334
4023,8.0,23.0,18.133333333333336
4025,10.5,25.3,20.066666666666666
4027,12.6,30.5,26.5
5001,12.9,33.8,35.63333333333333
5003,14.5,42.1,33.96666666666667
5005,16.0,32.3,31.633333333333336
5007,9.6,30.1,24.76666666666667
5009,12.4,33.9,32.6
5011,13.1,39.0,35.7
5013,13.7,34.2,34.96666666666667
5015,13.0,35.8,31.099999999999998
5017,15.2,43.1,36.86666666666667
5019,11.6,34.3,31.066666666666663
5021,11.1,33.7,37.699999999999996
5023,13.5,31.8,37.833333333333336
5025,13.0,35.7,31.96666666666667
5027,12.9,36.4,33.766666666666666
5029,13.7,39.7,32.63333333333333
5031,13.1,36.4,32.733333333333334
5033,11.4,35.1,31.166666666666668
5035,15.8,38.8,33.96666666666667
5037,13.6,37.9,36.23333333333333
5039,14.4,36.2,36.7
5041,15.1,39.6,33.833333333333336
5043,13.6,34.3,32.63333333333333
5045,11.2,33.2,30.100000000000005
5047,13.8,37.1,32.56666666666667
5049,15.6,32.9,32.73333333333333
5051,14.5,32.3,28.400000000000002
5053,11.1,38.3,32.300000000000004
5055,12.9,31.2,37.166666666666664
5057,13.5,40.3,34.4
5059,12.2,34.7,37.73333333333333
5061,13.4,35.7,34.8
5063,13.1,37.2,35.333333333333336
5065,15.5,33.9,33.46666666666667
5067,12.9,37.2,39.13333333333333
5069,15.4,40.7,35.49999999999999
5071,12.5,36.4,34.5
5073,15.3,36.3,34.9
5075,13.2,31.8,35.46666666666667
5077,13.1,35.7,34.766666666666666
5079,12.3,37.5,36.266666666666666
5081,12.9,32.7,34.266666666666666
5083,13.8,37.5,35.9
5085,13.1,35.8,29.166666666666668
5087,11.8,34.0,33.233333333333334
5089,12.2,31.7,31.899999999999995
5091,12.3,35.9,33.53333333333333
5093,15.9,39.8,41.3
5095,17.2,37.5,37.56666666666667
5097,14.3,33.8,32.333333333333336
5099,13.9,36.0,33.93333333333333
5101,12.8,34.2,36.233333333333334
5103,14.8,34.8,35.9
5105,12.2,37.5,30.966666666666665
5107,16.7,45.5,36.46666666666667
5109,12.4,37.8,31.03333333333333
5111,13.8,38.4,33.766666666666666
5113,13.9,36.7,35.166666666666664
5115,11.2,32.1,28.5
5117,14.3,36.3,34.86666666666667
5119,12.0,31.7,26.8
5121,12.7,35.3,38.1
5123,16.4,42.5,36.36666666666667
