FIPS,clusters
17069,cluster_0
17071,cluster_0
17073,cluster_0
17075,cluster_0
17077,cluster_0
17079,cluster_0
17081,cluster_0
17083,cluster_0
17085,cluster_0
17087,cluster_0
17089,cluster_0
17091,cluster_0
17093,cluster_0
17095,cluster_0
17097,cluster_0
17099,cluster_0
17101,cluster_0
17103,cluster_0
17105,cluster_0
17107,cluster_0
17109,cluster_0
17111,cluster_0
17113,cluster_0
17115,cluster_0
17117,cluster_0
17119,cluster_0
17121,cluster_0
17123,cluster_0
17125,cluster_0
17127,cluster_0
17129,cluster_0
17131,cluster_0
17133,cluster_0
17135,cluster_0
17137,cluster_0
17139,cluster_0
17141,cluster_0
17143,cluster_0
17145,cluster_0
17147,cluster_0
17149,cluster_0
17151,cluster_0
17153,cluster_0
17155,cluster_0
17157,cluster_0
17159,cluster_0
17161,cluster_0
17163,cluster_0
17165,cluster_0
17167,cluster_0
17169,cluster_0
17171,cluster_0
17173,cluster_0
17175,cluster_0
17177,cluster_0
17179,cluster_0
17181,cluster_0
17183,cluster_0
17185,cluster_0
17187,cluster_0
17189,cluster_0
17191,cluster_0
17193,cluster_0
17195,cluster_0
17197,cluster_0
17199,cluster_0
17201,cluster_0
17203,cluster_0
18001,cluster_0
18003,cluster_0
18005,cluster_0
18007,cluster_0
18009,cluster_3
18011,cluster_0
18013,cluster_0
18015,cluster_0
18017,cluster_0
18019,cluster_0
18021,cluster_0
18023,cluster_0
18025,cluster_0
18027,cluster_0
18029,cluster_0
18031,cluster_0
18033,cluster_0
18035,cluster_0
18037,cluster_0
18039,cluster_0
18041,cluster_0
18043,cluster_0
18045,cluster_0
18047,cluster_0
18049,cluster_0
18051,cluster_0
18053,cluster_3
18055,cluster_0
18057,cluster_0
18059,cluster_0
18061,cluster_0
18063,cluster_0
18065,cluster_0
18067,cluster_0
18069,cluster_0
18071,cluster_0
18073,cluster_0
18075,cluster_0
18077,cluster_0
18079,cluster_0
18081,cluster_0
18083,cluster_0
18085,cluster_0
18087,cluster_0
18089,cluster_0
18091,cluster_0
18093,cluster_3
18095,cluster_0
18097,cluster_0
18099,cluster_0
